feature,shap_importance
same_region,0.29349327473095543
to_per_emp_sup,0.24265675679973978
wages_to_to_sup,0.24011276729731743
log_NPE_sup,0.23145797571984877
purch_to_to_sup,0.21293521915139188
log_TO_sup,0.2047778651232991
log_ACT_sup,0.1932725908889161
act_per_emp_sup,0.18759145321365495
log_PURCH_sup,0.15347765445974268
purch_to_to_buyer,0.06895620548750632
to_per_emp_buyer,0.0528976829732338
wages_to_to_buyer,0.05121410345634759
act_per_emp_buyer,0.04977444781436212
log_TO_buyer,0.04974802347671714
log_ACT_buyer,0.04183683945743373
log_PURCH_buyer,0.03558730818086703
log_NPE_buyer,0.03208758426679
diff_WAGES,0.015582140013272123
diff_TO,0.006670675799004061
diff_PURCH,0.005434795284056312
diff_ACT,0.004961431781455157
diff_NPE,0.0028240674219360746
economic_similarity,0.0021142668126492587
NPE_ratio,0.0021090231975067126
trade_potential,0.0016017745812715067
TO_ratio,0.0010654125609030846
ACT_ratio,0.0006932164530528094
supplier_larger_TO,0.00026490505499794545
same_DIM,0.00025422165857493277
same_sector,7.208682509447568e-05
supplier_larger_ACT,0.0
supplier_larger_NPE,0.0
